"id","name","shortname","longname","link_key","show_in_offen","check_availability"
"1","Ruderboot","1x","Einer","","1","1"
"2","Ruderboot","4x+","Doppelvierer mit","","1","1"
"3","Ruderboot","1x+","Einer mit","","1","1"
"4","Ruderboot","2x","Doppelzweier","","1","1"
"5","Ruderboot","2x+","Doppelzweier mit","","1","1"
"6","Ruderboot","3x","Doppeldreier","","1","0"
"7","Ruderboot","5x","Doppelfünfer","","1","0"
"8","Ruderboot","4+","Vierer mit","","1","0"
"9","Ruderboot","4x","Doppelvierer","","1","0"
"10","Ruderboot","4-","Vierer ohne","","1","0"
"11","Ruderboot","1","Einer Kajak","","1","1"
"12","Ruderboot","8+","Achter","","1","1"
"13","Ruderboot","2-","Zweier ohne","","1","1"
"14","Ruderboot","3x+","Doppeldreier mit","","1","1"
"15","Ergometer","Ergo","Ergometer","","1","0"
"16","Motorboot","Motorboot","Motorboot","","1","0"
"17","Krafttraining","Krafttraining","Krafttraining","","1","0"
"18","Fuhrpark","Fuhrpark","Fuhrpark","","0","0"
